OBCINA,LJUDI
SLOVENIJA,2080908
Ajdovšèina,19249
Ankaran/Ancarano,3206
Apaèe,3516
Beltinci,8104
Benedikt,2577
Bistrica ob Sotli,1327
Bled,7835
Bloke,1555
Bohinj,5105
Borovnica,4483
Bovec,3048
Braslovèe,5523
Brda,5602
Brezovica,12412
Brežice,24084
Cankova,1735
Celje,49473
Cerklje na Gorenjskem,7632
Cerknica,11554
Cerkno,4580
Cerkvenjak,2058
Cirkulane,2391
Èrenšovci,3949
Èrna na Koroškem,3303
Èrnomelj,14299
Destrnik,2585
Divaèa,4157
Dobje,966
Dobrepolje,3856
Dobrna,2226
Dobrova - Polhov Gradec,7664
Dobrovnik/Dobronak,1284
Dol pri Ljubljani,6218
Dolenjske Toplice,3489
Domžale,36264
Dornava,2892
Dravograd,8783
Duplek,6937
Gorenja vas - Poljane,7539
Gorišnica,4069
Gorje,2762
Gornja Radgona,8392
Gornji Grad,2511
Gornji Petrovci,1985
Grad,2076
Grosuplje,21013
Hajdina,3797
Hoèe - Slivnica,11768
Hodoš/Hodos,354
Horjul,3016
Hrastnik,9154
Hrpelje - Kozina,4467
Idrija,11748
Ig,7463
Ilirska Bistrica,13340
Ivanèna Gorica,16793
Izola/Isola,16322
Jesenice,20991
Jezersko,634
Juršinci,2362
Kamnik,29686
Kanal,5301
Kidrièevo,6495
Kobarid,4079
Kobilje,542
Koèevje,15686
Komen,3534
Komenda,6268
Koper/Capodistria,52234
Kostanjevica na Krki,2450
Kostel,639
Kozje,3037
Kranj,56267
Kranjska Gora,5201
Križevci,3560
Krško,25996
Kungota,4705
Kuzma,1573
Laško,13006
Lenart,8432
Lendava/Lendva,10411
Litija,15356
Ljubljana,292988
Ljubno,2541
Ljutomer,11261
Log - Dragomer,3669
Logatec,14150
Loška dolina,3744
Loški Potok,1798
Lovrenc na Pohorju,2979
Luèe,1462
Lukovica,5838
Majšperk,4042
Makole,2015
Maribor,112065
Markovci,4014
Medvode,16573
Mengeš,8117
Metlika,8375
Mežica,3565
Miklavž na Dravskem polju,6744
Miren - Kostanjevica,4949
Mirna,2616
Mirna Peè,2974
Mislinja,4544
Mokronog - Trebelno,3057
Moravèe,5414
Moravske Toplice,5812
Mozirje,4106
Murska Sobota,18730
Muta,3383
Naklo,5422
Nazarje,2623
Nova Gorica,31799
Novo mesto,37063
Odranci,1641
Oplotnica,4118
Ormož,11942
Osilnica,369
Pesnica,7331
Piran/Pirano,17671
Pivka,6162
Podèetrtek,3430
Podlehnik,1817
Podvelka,2355
Poljèane,4431
Polzela,6191
Postojna,16189
Prebold,5084
Preddvor,3688
Prevalje,6794
Ptuj,23257
Puconci,5881
Raèe - Fram,7371
Radeèe,4165
Radenci,5108
Radlje ob Dravi,6185
Radovljica,19025
Ravne na Koroškem,11294
Razkrižje,1265
Reèica ob Savinji,2314
Renèe - Vogrsko,4354
Ribnica,9483
Ribnica na Pohorju,1128
Rogaška Slatina,11057
Rogašovci,3060
Rogatec,3060
Ruše,7070
Selnica ob Dravi,4494
Semiè,3824
Sevnica,17537
Sežana,13425
Slovenj Gradec,16596
Slovenska Bistrica,25599
Slovenske Konjice,14917
Sodražica,2177
Solèava,514
Središèe ob Dravi,1957
Starše,3974
Straža,3912
Sveta Ana,2285
Sveta Trojica v Slov. goricah,2078
Sveti Andraž v Slov. goricah,1180
Sveti Jurij ob Šèavnici,2806
Sveti Jurij v Slov. goricah,2075
Sveti Tomaž,2015
Šalovci,1392
Šempeter - Vrtojba,6234
Šenèur,8650
Šentilj,8438
Šentjernej,7125
Šentjur,19084
Šentrupert,2947
Škocjan,3290
Škofja Loka,23076
Škofljica,11180
Šmarje pri Jelšah,10256
Šmarješke Toplice,3378
Šmartno ob Paki,3261
Šmartno pri Litiji,5603
Šoštanj,8701
Štore,4616
Tabor,1645
Tišina,3952
Tolmin,11073
Trbovlje,16018
Trebnje,12903
Trnovska vas,1359
Trzin,3922
Tržiè,14880
Turnišèe,3194
Velenje,33293
Velika Polana,1416
Velike Lašèe,4351
Veržej,1288
Videm,5568
Vipava,5600
Vitanje,2262
Vodice,4958
Vojnik,8801
Vransko,2616
Vrhnika,17272
Vuzenica,2658
Zagorje ob Savi,16434
Zavrè,1525
Zreèe,6443
Žalec,21340
Železniki,6689
Žetale,1293
Žiri,4876
Žirovnica,4398
Žužemberk,4628
